K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	mean_D	sd_D	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.316667	4	4	4	0	4	0	0	0	0	1.26667	1.26667	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.35	8	8	8	0	8	0	0	0	0	2.8	2.8	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.303704	3	3	3	0	3	0	0	0	0	0.911111	0.911111	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	0	0	0	0	0.555556	0.555556	0	
5	0	5	0	10	0.888889	0.0596285	0.888889	0	0.377778	8	8	8	0	8	0	0	0	0	3.02222	3.02222	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.417778	10	10	10	0	10	0	0	0	0	4.17778	4.17778	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.364444	5	5	5	0	5	0	0	0	0	1.82222	1.82222	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	6	6	6	0	6	0	0	0	0	3.2	3.2	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.260317	7	7	7	0	7	0	0	0	0	1.82222	1.82222	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.254321	9	9	9	0	9	0	0	0	0	2.28889	2.28889	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.340741	3	3	3	0	3	0	0	0	0	1.02222	1.02222	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.2	5	5	5	0	5	0	0	0	0	1	1	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.392593	6	6	6	0	6	0	0	0	0	2.35556	2.35556	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.311111	8	8	8	0	8	0	0	0	0	2.48889	2.48889	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.277778	4	4	4	0	4	0	0	0	0	1.11111	1.11111	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.397531	9	9	9	0	9	0	0	0	0	3.57778	3.57778	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.293333	5	5	5	0	5	0	0	0	0	1.46667	1.46667	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.288889	3	3	3	0	3	0	0	0	0	0.866667	0.866667	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.386111	8	8	8	0	8	0	0	0	0	3.08889	3.08889	0	
4	0	4	0	10	0.8	0.0888444	0.8	0	0.462222	5	5	5	0	5	0	0	0	0	2.31111	2.31111	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	0	0	0	0	0.2	0.2	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.377778	2	2	2	0	2	0	0	0	0	0.755556	0.755556	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	0	0	0	0	0.555556	0.555556	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.4	3	3	3	0	3	0	0	0	0	1.2	1.2	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	1	1	1	0	1	0	0	0	0	0.355556	0.355556	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.377778	4	4	4	0	4	0	0	0	0	1.51111	1.51111	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.37037	3	3	3	0	3	0	0	0	0	1.11111	1.11111	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.340741	3	3	3	0	3	0	0	0	0	1.02222	1.02222	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	9	9	9	0	9	0	0	0	0	1.8	1.8	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	0	0	0	0	0.555556	0.555556	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	3	3	3	0	3	0	0	0	0	0.6	0.6	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.27037	6	6	6	0	6	0	0	0	0	1.62222	1.62222	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.266667	4	4	4	0	4	0	0	0	0	1.06667	1.06667	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.238889	4	4	4	0	4	0	0	0	0	0.955556	0.955556	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.35873	7	7	7	0	7	0	0	0	0	2.51111	2.51111	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.259259	6	6	6	0	6	0	0	0	0	1.55556	1.55556	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.325926	6	6	6	0	6	0	0	0	0	1.95556	1.95556	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.422222	9	9	9	0	9	0	0	0	0	3.8	3.8	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.455556	2	2	2	0	2	0	0	0	0	0.911111	0.911111	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.251852	3	3	3	0	3	0	0	0	0	0.755556	0.755556	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.368254	7	7	7	0	7	0	0	0	0	2.57778	2.57778	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.494444	4	4	4	0	4	0	0	0	0	1.97778	1.97778	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.44127	7	7	7	0	7	0	0	0	0	3.08889	3.08889	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.451852	6	6	6	0	6	0	0	0	0	2.71111	2.71111	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.37037	12	12	12	0	12	0	0	0	0	4.44444	4.44444	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	4	4	4	0	4	0	0	0	0	0.8	0.8	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.340741	3	3	3	0	3	0	0	0	0	1.02222	1.02222	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.474074	3	3	3	0	3	0	0	0	0	1.42222	1.42222	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.336508	7	7	7	0	7	0	0	0	0	2.35556	2.35556	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	2	2	2	0	2	0	0	0	0	0.733333	0.733333	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.388889	4	4	4	0	4	0	0	0	0	1.55556	1.55556	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.231111	5	5	5	0	5	0	0	0	0	1.15556	1.15556	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.455556	4	4	4	0	4	0	0	0	0	1.82222	1.82222	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.311111	7	7	7	0	7	0	0	0	0	2.17778	2.17778	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	1	1	1	0	1	0	0	0	0	0.466667	0.466667	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.251852	6	6	6	0	6	0	0	0	0	1.51111	1.51111	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.251852	3	3	3	0	3	0	0	0	0	0.755556	0.755556	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.253333	5	5	5	0	5	0	0	0	0	1.26667	1.26667	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.407407	3	3	3	0	3	0	0	0	0	1.22222	1.22222	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	0	0	0	0	0.2	0.2	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.377778	2	2	2	0	2	0	0	0	0	0.755556	0.755556	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.231111	5	5	5	0	5	0	0	0	0	1.15556	1.15556	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	0	0	0	0	0.2	0.2	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.392593	3	3	3	0	3	0	0	0	0	1.17778	1.17778	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	3	3	3	0	3	0	0	0	0	1.06667	1.06667	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.388889	4	4	4	0	4	0	0	0	0	1.55556	1.55556	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.266667	5	5	5	0	5	0	0	0	0	1.33333	1.33333	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.372222	4	4	4	0	4	0	0	0	0	1.48889	1.48889	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.225926	6	6	6	0	6	0	0	0	0	1.35556	1.35556	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.444444	5	5	5	0	5	0	0	0	0	2.22222	2.22222	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.336508	7	7	7	0	7	0	0	0	0	2.35556	2.35556	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.333333	8	8	8	0	8	0	0	0	0	2.66667	2.66667	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.3	10	10	10	0	10	0	0	0	0	3	3	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.522222	6	6	6	0	6	0	0	0	0	3.13333	3.13333	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	0	0	0	0	0.2	0.2	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.231111	5	5	5	0	5	0	0	0	0	1.15556	1.15556	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.316049	9	9	9	0	9	0	0	0	0	2.84444	2.84444	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.377778	3	3	3	0	3	0	0	0	0	1.13333	1.13333	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	0	0	0	0	0.555556	0.555556	0	
