K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.324444	5	5	5	0	5	-0.329436	-0.329436	0	0.137067	0.137067	0	1.62222	1.62222	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.385185	6	6	6	0	6	0.370992	0.370992	0	-0.273585	-0.273585	0	2.31111	2.31111	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.35	4	4	4	0	4	-0.03786	-0.03786	0	-1.43006	-1.43006	0	1.4	1.4	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.320988	9	9	9	0	9	-0.402567	-0.402567	0	0.235427	0.235427	0	2.88889	2.88889	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.419444	8	8	8	0	8	0.80504	0.80504	0	1.83743	1.83743	0	3.35556	3.35556	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.322222	4	4	4	0	4	-0.339564	-0.339564	0	-1.62852	-1.62852	0	1.28889	1.28889	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.365657	11	11	11	0	11	0.154174	0.154174	0	-0.122365	-0.122365	0	4.02222	4.02222	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	-1.16394	-1.16394	0	0.4	0.4	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	-2.8472	-2.8472	0	0.8	0.8	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.303704	6	6	6	0	6	-0.582621	-0.582621	0	-0.815009	-0.815009	0	1.82222	1.82222	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	0.206017	0.206017	0	0.866667	0.866667	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
